destination,itinerary,places_covered,hotel_details,cost_per_person,places_to_visit,weather,destination_type
Dharamshala,3 Nights  Daysharamshala,Dharamshala,"Little Mastiff Dharamshala , Unit Of Pong View Hotel,3.9",6713.5," Dalai Lama Temple ,  Bhagsu Falls ,  Church Of St. John ,  War Memorial ,  Kangra Art Museum ,  Cricket Stadium ,  Norbulingka Institute ,  Kangra Art Museum ",cool,Mountains
"Jaipur, Jodhpur, Udaipur","2 Nights Jaipur , 1 Nights Jodhpur , 2 Nights Udaipur","Jaipur, Jodhpur, Udaipur","Ramada Jaipur,4.1,Indana Palace Jodhpur,4.3,The Ananta,4.4",18081.5," City Palace ,  Hawa Mahal ,  Jantar Mantar ,  Amer Fort ,  Mehrangarh Fort ,  Jaswant Thada ,  Ranakpur Jain Temples ",hot,City
Goa,2 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.1",8384.5, Self Drive Suv For 3 Days From Mumbai ,hot,Beach
Goa,3 Nights Goa,Goa,"Amara Grand Baga, Goa, Mmt Holidays Special,",13319.5, Authentic Goan Meal By Home Chef Aditi Malhotra (With Transfers) - Mmt ,hot,Beach
Jaipur,3 Nights Jaipur,Jaipur,"Jai Mahal Palace,4.7",27979.0," Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ",hot,City
"Jaipur, Jodhpur, Udaipur","2 Nights Jaipur , 2 Nights Jodhpur , 2 Nights Udaipur","Jaipur, Jodhpur, Udaipur","Leisure Inn Grand Chanakya,4,Shree Ram International,3.8,Hotel Horizon,3.7",14838.5," City Palace ,  Hawa Mahal ,  Jantar Mantar ,  Rajasthan - Convenience Value Pack - Suv - Mmt ,  Albert Hall Museum ,  Amer Fort ,  Mehrangarh Fort ,  Jaswant Thada ,  Umaid Bhawan Palace ,  Ranakpur Jain Temples ",hot,City
Dharamshala,2 Nights  Daysharamshala,Dharamshala,"Little Mastiff Dharamshala , Unit Of Pong View Hotel,3.9",6699.0," Dalai Lama Temple ,  Bhagsu Falls ,  Church Of St. John ,  War Memorial ,  Kangra Art Museum ,  Cricket Stadium ,  Norbulingka Institute ,  Sunrise At A Hilltop (With Transfers) ",cool,Mountains
Udaipur,2 Nights Udaipur,Udaipur,"Golden Tulip Hotel Udaipur,3.3",11382.5, Dinner At A Lake View Haveli (With Transfers) - Mmt ,hot,City
Goa,3 Nights Goa,Goa,"W Goa,4.5",20360.5, Romantic Experiences For Couples From South Goa Hotels (With Transfers) ,hot,Beach
Goa,3 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.1",8416.0," Mumbai To Goa Bus Ticket With Private Transfer To South Goa Hotels - Mmt ,  South Goa Hop-On Hop-Off (Hoho) Tour (1 Day Pass Without Transfers) - Mmt ,  Goa To Mumbai Bus Ticket With Private Transfer From South Goa Hotels - Mmt ",hot,Beach
Goa,3 Nights Goa,Goa,"Windsor Bay,4",5917.5," Mumbai To Goa By Bus (Departure Between 5 Pm - 10 Pm) ,  Goa Nightlife Tour (With Transfers) - Mmt ,  Goa To Mumbai By Bus (Departure Between 5 Pm - 9 Pm) ",hot,Beach
Jaipur,3 Nights Jaipur,Jaipur,"Park Regis Jaipur , Mmt Holidays Special,",10890.0," Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ,  Home Chef - Enjoy A Traditional Rajasthani Meal With A Royal Family - Mmt ",hot,City
Srinagar,3 Nights Srinagar,Srinagar,"The Orchard Retreat & Spa,4.6",16926.0," Dal Lake ,  Mughal Gardens ,  Cheshma Shahi ,  Nishat Bagh ,  Shalimar Garden ,  Shankaracharya Temple ,  Dal Lake ,  Gondola Point ",moderate,Mountains
Jaipur,2 Nights Jaipur,Jaipur,"Leisure Inn Grand Chanakya,4",7553.5," Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ",hot,City
Jaipur,2 Nights Jaipur,Jaipur,"Ramada Jaipur,4.1",5441.0, Walking And Food Tasting Tour - Mmt ,hot,City
Dharamshala,3 Nights  Daysharamshala,Dharamshala,"Hotel The Vaikunth,3.9",11255.0," Dalai Lama Temple ,  Bhagsu Falls ,  Church Of St. John ,  War Memorial ,  Kangra Art Museum ,  Norbulingka Institute ",cool,Mountains
Goa,2 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.1",4854.0, North Goa Sightseeing By An Muv - For North Goa Hotels - Mmt ,hot,Beach
Goa,4 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.1",19659.0," Goa - Convenience Value Pack - Mmt ,  Romantic Experiences For Couples From South Goa Hotels (With Transfers) ,  Mmt - Candid Photographer In Goa ",hot,Beach
Chennai,3 Nights Chennai,Chennai,"Hotel Savera,4.2",10169.5," Marina Beach ,  Fort St. George ,  Kapaleeshwar Temple ",moderate,City
Srinagar,4 Nights Srinagar,Srinagar,"California Group Of Houseboats,3.6",12079.5," Dal Lake ,  Mughal Gardens ,  Cheshma Shahi ,  Nishat Bagh ,  Shalimar Garden ,  Shankaracharya Temple ,  Dal Lake ,  Gondola Point ,  Avantipur Ruins ,  Full Day Excursion From Srinagar To Doodhpatri - Mmt ",moderate,Mountains
Udaipur,2 Nights Udaipur,Udaipur,"Swaroop Vilas,3.8",10543.0," Lake Pichola ,  Jag Mandir Palace ,  Private Sunset Boat Ride At Lake Pichola - Mmt ,  Sajjangarh Palace ",hot,City
Jaipur,2 Nights Jaipur,Jaipur,"Park Regis Jaipur , Mmt Holidays Special,",5473.0," Return Volvo Tickets Ex Delhi ,  Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ",hot,City
Goa,3 Nights Goa,Goa,"The Grand Leoney Resort,4.2",7906.5, Bondla Sanctuary - For North Goa Hotels - Wagonr/Similar ,hot,Beach
Dharamshala,3 Nights  Daysharamshala,Dharamshala,"Hotel The Vaikunth,3.9",9518.5," Dalai Lama Temple ,  Bhagsu Falls ,  Church Of St. John ,  War Memorial ,  Kangra Art Museum ,  Norbulingka Institute ",cool,Mountains
Srinagar,3 Nights Srinagar,Srinagar,"The Pride Inn,4.2",6013.5," Dal Lake ,  Mughal Gardens ,  Cheshma Shahi ,  Nishat Bagh ,  Shalimar Garden ,  Shankaracharya Temple ,  Dal Lake ,  Gondola Point ",moderate,Mountains
Jaipur,3 Nights Jaipur,Jaipur,"Ramada Jaipur,4.1",19522.5," Candlelight Dinner In Jaipur ,  Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ,  Traditional Dinner At Chokhi Dhani (With Transfers) - Mmt ,  Half Day Trip To Bisalpur Dam - Mmt ,  Elephant Safari & Interaction With Elephants At Dera Amer - Mmt ,  Morning Cycling Tour Of Jaipur - Mmt ",hot,City
Goa,4 Nights Goa,Goa,"La Vie Woods (No Stags Allowed),4",14650.0," Goa - Convenience Value Pack - Mmt ,  Romantic Experiences For Couples From North Goa Hotels (With Transfers) ,  Mmt - Candid Photographer In Goa ",hot,Beach
Goa,4 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.1",17069.5," North Goa Sightseeing By An Muv - For North Goa Hotels - Mmt ,  South Goa Sightseeing By An Muv - For North Goa Hotels - Mmt ",hot,Beach
Udaipur,3 Nights Udaipur,Udaipur,"Hotel Horizon,3.7",11517.0," Lake Pichola ,  Jag Mandir Palace ,  Saheliyon Ki Bari ,  City Palace ",hot,City
Udaipur,2 Nights Udaipur,Udaipur,"Swaroop Vilas,3.8",12455.0, Cable Car Ride & Fort Tour Near Lake Pichola (With Lunch & Transfers) - Mmt ,hot,City
Nainital,2 Nights Nainital,Nainital,"Vikram Vintage Inn,4.1",17582.0," Naina Devi Temple ,  Mall Road ,  Naini Lake ,  Nainital Zoo ,  Eco Cave Garden ",cool,Mountains
Goa,4 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.2",14861.5, North & South Goa Hop-On Hop-Off (Hoho) Tour (2 Day Pass Without Transfers) - Mmt ,hot,Beach
Jaipur,3 Nights Jaipur,Jaipur,"Golden Tulip Jaipur,4.1",8552.5," Dinner At Padao In Nahargarh Fort (With Transfers) - Mmt ,  City Palace ,  Jantar Mantar ,  Hawa Mahal ,  Half Day Trip To Bisalpur Dam - Mmt ,  Amer Fort ,  Ticket To Light And Sound Show At Amer Fort - Mmt ",hot,City
Nainital,3 Nights Nainital,Nainital,"The Manu Maharani,4.3",9498.5," Naina Devi Temple ,  Mall Road ,  Naini Lake ,  Nainital Zoo ,  Eco Cave Garden ,  Sattal ,  Bhimtal ,  Naukuchiatal ",cool,Mountains
Srinagar,3 Nights Srinagar,Srinagar,"Radisson Srinagar,3.9",16886.0," Dal Lake ,  Mughal Gardens ,  Cheshma Shahi ,  Nishat Bagh ,  Shalimar Garden ,  Shankaracharya Temple ,  Dal Lake ,  Gondola Point ",moderate,Mountains
Goa,4 Nights Goa,Goa,"The Ocean Park Resort,3.7",19736.0," Goa - Convenience Value Pack - Mmt ,  Romantic Experiences For Couples From South Goa Hotels (With Transfers) ,  Mmt - Candid Photographer In Goa ",hot,Beach
Goa,2 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.1",6378.0, North Goa Sightseeing By An Muv - For North Goa Hotels - Mmt ,hot,Beach
Srinagar,2 Nights Srinagar,Srinagar,"Vivanta Dal View,4.7",18012.5," Dal Lake ,  Sonmarg ,  Thajiwas Glacier ",moderate,Mountains
Manali,3 Nights Manali,Manali,"Hotel Vintage,4",12517.5," Vashishth Kund ,  Hadimba Temple ,  Tibetan Monastery ,  Personal Photoshoot In Manali ,  Solang Valley ",cool,Mountains
"Jaipur, Jodhpur, Udaipur","2 Nights Jaipur , 1 Nights Jodhpur , 2 Nights Udaipur","Jaipur, Jodhpur, Udaipur","Ramada Jaipur,4.1,Indana Palace Jodhpur,4.3,The Ananta,4.4",14202.5," City Palace ,  Hawa Mahal ,  Jantar Mantar ,  Amer Fort ,  Mehrangarh Fort ,  Jaswant Thada ,  Ranakpur Jain Temples ",hot,City
Dharamshala,3 Nights  Daysharamshala,Dharamshala,"Little Mastiff Dharamshala , Unit Of Pong View Hotel,3.9",12946.0," Dalai Lama Temple ,  Bhagsu Falls ,  Church Of St. John ,  War Memorial ,  Kangra Art Museum ,  Norbulingka Institute ",cool,Mountains
Jaipur,3 Nights Jaipur,Jaipur,"Ramada Jaipur,4.1",7756.0, Self Drive Suv For 4 Days From Delhi ,hot,City
Srinagar,3 Nights Srinagar,Srinagar,"The Pride Inn,4.2",11219.5," Dal Lake ,  Mughal Gardens ,  Cheshma Shahi ,  Nishat Bagh ,  Shalimar Garden ,  Shankaracharya Temple ,  Dal Lake ,  Gondola Point ",moderate,Mountains
Shimla,3 Nights Shimla,Shimla,"Kyriad Hotel Shimla (A Unit Of Hotel C K Int.),3.5",10005.5," Kufri ,  Viceregal Lodge ,  Mall Road ,  Personal Photoshoot In Shimla ",cool,Mountains
Dharamshala,2 Nights  Daysharamshala,Dharamshala,"Hotel The Vaikunth,3.9",11539.5," Dalai Lama Temple ,  Bhagsu Falls ,  Church Of St. John ,  War Memorial ,  Kangra Art Museum ,  Norbulingka Institute ",cool,Mountains
Jaipur,2 Nights Jaipur,Jaipur,"Ramada Jaipur,4.1",7874.0," Return Volvo Tickets Ex Delhi ,  Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ",hot,City
Goa,3 Nights Goa,Goa,"Amara Grand Baga, Goa, Mmt Holidays Special,",13604.0, Authentic Goan Meal By Home Chef Aditi Malhotra (With Transfers) - Mmt ,hot,Beach
Goa,3 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.1",14381.5, South Goa Sightseeing By An Muv - For South Goa Hotels - Mmt ,hot,Beach
Goa,3 Nights Goa,Goa,"Nilaya Hermitage,2",12963.5," Goa - Convenience Value Pack - Mmt ,  Romantic Experiences For Couples From North Goa Hotels (With Transfers) ,  Mmt - Candid Photographer In Goa ",hot,Beach
Jaipur,3 Nights Jaipur,Jaipur,"Leisure Inn Grand Chanakya,4",16255.5," Dinner At Padao In Nahargarh Fort (With Transfers) - Mmt ,  Rajasthan - Convenience Value Pack - Suv - Mmt ,  Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ,  Personal Photoshoot At Amer Fort - Mmt ,  Ticket To Light And Sound Show At Amer Fort - Mmt ,  Night City Tour Of Jaipur (With Transfers) - Mmt ,  Hot Air Balloon Ride (With Transfers) - Mmt ",hot,City
Nainital,2 Nights Nainital,Nainital,"Hotel Maharaja,3.3",7631.5," Naina Devi Temple ,  Mall Road ,  Naini Lake ,  Nainital Zoo ,  Eco Cave Garden ",cool,Mountains
Srinagar,4 Nights Srinagar,Srinagar,"California Group Of Houseboats,3.6",12519.5," Dal Lake ,  Mughal Gardens ,  Cheshma Shahi ,  Nishat Bagh ,  Shalimar Garden ,  Shankaracharya Temple ,  Dal Lake ,  Gondola Point ,  Avantipur Ruins ,  Full Day Excursion From Srinagar To Doodhpatri - Mmt ",moderate,Mountains
Udaipur,2 Nights Udaipur,Udaipur,"The Ananta,4.4",7855.5," Lake Pichola ,  Jag Mandir Palace ,  Return Volvo Tickets Ex Indore ,  Sajjangarh Palace ",hot,City
Manali,4 Nights Manali,Manali,"Hotel Vintage,4.5",7581.5," Pandoh Dam ,  Himachal - Convenience Value Pack - Sedan - Mmt ,  Hadimba Temple ,  Tibetan Monastery ,  Vashishth Kund ,  Solang Valley ",cool,Mountains
